timestamp,region,subba-name,parent,parent-name,demand,value-units,supply
2024-06-04T08,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11402,megawatthours,
2024-06-04T07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12270,megawatthours,
2024-06-04T06,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13117,megawatthours,
2024-06-04T05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13312,megawatthours,
2024-06-04T04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,13052,megawatthours,
2024-06-04T03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12744,megawatthours,
2024-06-04T02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12240,megawatthours,
2024-06-04T01,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11723,megawatthours,
2024-06-04T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11192,megawatthours,
2024-06-03T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11435,megawatthours,
2024-06-03T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11185,megawatthours,
2024-06-03T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10699,megawatthours,
2024-06-03T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11200,megawatthours,
2024-06-03T19,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11554,megawatthours,
2024-06-03T18,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11429,megawatthours,
2024-06-03T17,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11406,megawatthours,
2024-06-03T16,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11614,megawatthours,
2024-06-03T15,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10912,megawatthours,
2024-06-03T14,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10159,megawatthours,
2024-06-03T13,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9796,megawatthours,
2024-06-03T12,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9701,megawatthours,
2024-06-03T11,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9721,megawatthours,
2024-06-03T10,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10018,megawatthours,
2024-06-03T09,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10405,megawatthours,
2024-06-03T08,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10918,megawatthours,
2024-06-03T07,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11725,megawatthours,
2024-06-03T06,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12522,megawatthours,
2024-06-03T05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12713,megawatthours,
2024-06-03T04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12532,megawatthours,
2024-06-03T03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11859,megawatthours,
2024-06-03T02,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10654,megawatthours,
2024-06-03T01,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9354,megawatthours,
2024-06-03T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8753,megawatthours,
2024-06-02T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7928,megawatthours,
2024-06-02T22,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7560,megawatthours,
2024-06-02T21,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7606,megawatthours,
2024-06-02T20,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7845,megawatthours,
2024-06-02T19,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8225,megawatthours,
2024-06-02T18,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8752,megawatthours,
2024-06-02T17,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9273,megawatthours,
2024-06-02T16,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9631,megawatthours,
2024-06-02T15,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10060,megawatthours,
2024-06-02T14,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10227,megawatthours,
